area	year	production	area_harvested
Trung Quốc	1983	168.9	33.1
Trung Quốc	1982	161.6	33.0
Trung Quốc	1981	144.0	33.3
Trung Quốc	1980	139.9	33.8
Trung Quốc	1979	143.8	33.8
Trung Quốc	1978	136.9	34.4
Trung Quốc	1977	128.6	35.5
Trung Quốc	1976	125.8	36.2
Trung Quốc	1975	125.6	35.7
Trung Quốc	1974	123.9	35.5
Trung Quốc	1973	121.7	35.1
Trung Quốc	1972	113.4	35.1
Trung Quốc	1971	115.2	34.9
Trung Quốc	1970	110.0	32.3
Trung Quốc	1969	95.1	30.4
Trung Quốc	1968	94.5	29.9
Trung Quốc	1967	93.7	30.4
Trung Quốc	1966	95.4	30.5
Trung Quốc	1965	87.7	29.8
Trung Quốc	1964	83.0	29.6
Trung Quốc	1963	73.8	27.7
Trung Quốc	1962	63.0	26.9
Trung Quốc	1961	53.6	26.3
Ấn Độ	2021	195.4	46.4
Ấn Độ	2020	186.5	45.1
Ấn Độ	2019	178.3	43.7
Ấn Độ	2018	174.7	44.2
Ấn Độ	2017	169.1	43.8
Ấn Độ	2016	163.7	43.2
Ấn Độ	2015	156.5	43.4
Ấn Độ	2014	157.2	44.1
Ấn Độ	2013	159.2	44.1
Ấn Độ	2012	157.8	42.8
Ấn Độ	2011	157.9	44.0
Ấn Độ	2010	144.0	42.9
Ấn Độ	2009	135.7	41.9
Ấn Độ	2008	148.0	45.5
Ấn Độ	2007	144.6	43.9
Ấn Độ	2006	139.1	43.8
Ấn Độ	2005	137.7	43.7
Ấn Độ	2004	124.7	41.9
Ấn Độ	2003	132.8	42.6
Ấn Độ	2002	107.7	41.2
Ấn Độ	2001	139.9	44.9
Ấn Độ	2000	127.5	44.7
Ấn Độ	1999	134.5	45.2
Ấn Độ	1998	129.1	44.8
Ấn Độ	1997	123.7	43.5
Ấn Độ	1996	122.5	43.4
Ấn Độ	1995	115.4	42.8
Ấn Độ	1994	122.6	42.8
Ấn Độ	1993	120.4	42.5
Ấn Độ	1992	109.0	41.8
Ấn Độ	1991	112.0	42.6
Ấn Độ	1990	111.5	42.7
Ấn Độ	1989	110.3	42.2
Ấn Độ	1988	106.4	41.7
Ấn Độ	1987	85.3	38.8
Ấn Độ	1986	90.8	41.2
Ấn Độ	1985	95.8	41.1
Ấn Độ	1984	87.6	41.2
Ấn Độ	1983	90.0	41.2
Ấn Độ	1982	70.8	38.3
Ấn Độ	1981	79.9	40.7
Ấn Độ	1980	80.3	40.2
Ấn Độ	1979	63.5	39.4
Ấn Độ	1978	80.6	40.5
Ấn Độ	1977	79.0	40.3
Ấn Độ	1976	63.1	38.5
Ấn Độ	1975	73.4	39.5
Ấn Độ	1974	59.7	37.9
Ấn Độ	1973	66.1	38.3
Ấn Độ	1972	58.9	36.7
Ấn Độ	1971	64.6	37.8
Ấn Độ	1970	63.3	37.6
Ấn Độ	1969	60.6	37.7
Ấn Độ	1968	59.6	37.0
Ấn Độ	1967	56.4	36.4
Ấn Độ	1966	45.7	35.3
Ấn Độ	1965	45.9	35.5
Ấn Độ	1964	59.0	36.5
Ấn Độ	1963	55.5	35.8
Ấn Độ	1962	49.8	35.7
Ấn Độ	1961	53.5	34.7
Indonesia	2021	54.4	10.4
Indonesia	2020	54.6	10.7
Indonesia	2019	54.6	10.7
Indonesia	2018	59.2	11.4
Indonesia	2006	54.5	11.8
Indonesia	2005	54.2	11.8
Indonesia	2004	54.1	11.9
Indonesia	2003	52.1	11.5
Indonesia	2002	51.5	11.5
Indonesia	2001	50.5	11.5
Indonesia	2000	51.9	11.8
Indonesia	1999	50.9	12.0
Indonesia	1998	49.2	11.7
Indonesia	1997	49.4	11.1
Indonesia	1996	51.1	11.6
Indonesia	1995	49.7	11.4
Indonesia	1994	46.6	10.7
Indonesia	1993	48.2	11.0
Indonesia	1992	48.2	11.1
Indonesia	1991	44.7	10.3
Indonesia	1990	45.2	10.5
Indonesia	1989	44.7	10.5
Indonesia	1988	41.7	10.1
Indonesia	1987	40.1	9.9
Indonesia	1986	39.7	10.0
Indonesia	1985	39.0	9.9
Indonesia	1984	38.1	9.8
Indonesia	1983	35.3	9.2
Indonesia	1982	33.6	9.0
Indonesia	1981	32.8	9.4
Indonesia	1980	29.7	9.0
Indonesia	1979	26.3	8.8
Indonesia	1978	25.8	8.9
Indonesia	1977	23.3	8.4
Indonesia	1976	23.3	8.4
Indonesia	1975	22.3	8.5
Indonesia	1974	22.5	8.5
Indonesia	1973	21.5	8.4
Indonesia	1972	19.4	7.9
Indonesia	1971	20.2	8.3
Indonesia	1970	19.3	8.1
Indonesia	1969	18.0	8.0
Indonesia	1968	17.2	8.0
Indonesia	1967	13.2	7.5
Indonesia	1966	13.7	7.7
Indonesia	1965	13.0	7.3
Indonesia	1964	12.3	7.0
Indonesia	1963	11.6	6.7
Indonesia	1962	13.0	7.3
Indonesia	1961	12.1	6.9
Nhật Bản	2021	10.5	1.4
Nhật Bản	2020	10.5	1.5
Nhật Bản	2019	10.5	1.5
Nhật Bản	2018	10.6	1.5
Nhật Bản	2009	10.6	1.6
Nhật Bản	2008	11.0	1.6
Nhật Bản	2007	10.9	1.7
Nhật Bản	2006	10.7	1.7
Nhật Bản	2005	11.3	1.7
Nhật Bản	2004	10.9	1.7
Nhật Bản	2003	9.7	1.7
Nhật Bản	2002	11.1	1.7
Nhật Bản	2001	11.3	1.7
Nhật Bản	2000	11.9	1.8
Nhật Bản	1999	11.5	1.8
Nhật Bản	1998	11.2	1.8
Nhật Bản	1997	12.5	2.0
Nhật Bản	1996	12.9	2.0
Nhật Bản	1995	13.4	2.1
Nhật Bản	1994	15.0	2.2
Nhật Bản	1993	9.8	2.1
Nhật Bản	1992	13.2	2.1
Nhật Bản	1991	12.0	2.0
Nhật Bản	1990	13.1	2.1
Nhật Bản	1989	12.9	2.1
Nhật Bản	1988	12.4	2.1
Nhật Bản	1987	13.3	2.1
Nhật Bản	1986	14.6	2.3
Nhật Bản	1985	14.6	2.3
Nhật Bản	1984	14.8	2.3
Nhật Bản	1983	13.0	2.3
Nhật Bản	1982	12.8	2.3
Nhật Bản	1981	12.8	2.3
Nhật Bản	1980	12.2	2.4
Nhật Bản	1979	14.9	2.5
Nhật Bản	1978	15.7	2.5
Nhật Bản	1977	17.0	2.8
Nhật Bản	1976	15.2	2.8
Nhật Bản	1975	17.1	2.8
Nhật Bản	1974	16.0	2.7
Nhật Bản	1973	15.8	2.6
Nhật Bản	1972	15.5	2.6
Nhật Bản	1971	14.1	2.7
Nhật Bản	1970	16.5	2.9
Nhật Bản	1969	18.2	3.3
Nhật Bản	1968	18.8	3.3
Nhật Bản	1967	18.8	3.3
Nhật Bản	1966	16.6	3.3
Nhật Bản	1965	16.1	3.3
Nhật Bản	1964	16.4	3.3
Nhật Bản	1963	16.6	3.3
Nhật Bản	1962	16.9	3.3
Nhật Bản	1961	16.2	3.3
Myanmar	2020	26.0	6.8
Myanmar	2019	26.3	6.9
Myanmar	2018	27.6	7.1
Myanmar	2017	26.5	6.9
Myanmar	2016	25.7	6.7
Myanmar	2015	26.2	6.8
